Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
how many cards in a tarot deck,Informational,6600,"0.44,1.00,0.67,0.55,0.36,0.82,0.82,0.82,0.67,0.36,0.67,0.82",18,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",12000000
how to read tarot cards,Informational,6600,"1.00,0.80,0.65,0.80,0.50,0.20,1.00,0.50,1.00,1.00,0.20,0.65",23,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",89100000
how many tarot cards are there,Informational,5400,"0.24,0.24,0.54,0.81,0.66,0.66,1.00,0.16,1.00,0.81,0.08,0.08",32,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",68500000
how to shuffle tarot cards,Informational,4400,"0.54,1.00,0.81,1.00,0.81,0.43,0.66,0.66,0.15,1.00,0.03,0.54",7,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",43700000
are tarot cards evil,Informational,3600,"0.66,0.44,0.44,0.35,0.29,0.35,0.23,0.35,1.00,0.35,1.00,0.35",28,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",7280000
how many cards are in a tarot deck,Informational,2900,"0.28,0.67,0.54,0.36,0.20,0.02,0.67,0.43,0.36,0.43,1.00,0.54",22,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",12900000
how to use tarot cards,Informational,2900,"1.00,0.19,0.29,0.66,0.35,0.12,0.12,0.44,0.35,0.10,0.05,0.54",16,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",41900000
what are tarot cards,Informational,2900,"0.20,0.36,0.54,0.43,0.81,0.43,0.43,1.00,0.23,0.67,0.54,0.02",57,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",113000000
how to do a tarot reading,Informational,2400,"0.36,0.19,0.19,0.19,0.10,1.00,0.54,0.43,0.54,0.19,0.24,0.24",11,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",166000000
how to use tarot cards balatro,Informational,1900,"0.01,0.36,1.00,0.54,0.07,0.54,0.54,0.08,0.00,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",10
what is tarot,Informational,1900,"0.53,0.44,0.44,0.44,0.44,0.80,0.36,0.80,0.44,0.44,1.00,0.44",57,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches",130000000
how to read tarot,Informational,1600,"0.19,0.15,0.24,0.36,0.24,1.00,0.19,0.15,0.13,0.24,0.15,0.19",20,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",72200000
what is tarot reading,Informational,1600,"0.44,1.00,0.36,0.24,0.44,0.44,0.36,0.36,0.44,0.44,0.27,0.03",36,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches",102000000
how many cards in tarot deck,Informational,1300,"0.65,0.65,0.20,0.54,0.12,0.10,0.01,0.00,0.20,1.00,0.04,0.04",44,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",13100000
what tarot card am i,Informational,1300,"0.08,0.08,0.05,0.07,0.07,0.08,0.10,0.16,1.00,0.66,0.18,0.16",19,0.00,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",53800000
are tarot cards real,Informational,1000,"1.00,0.76,0.76,0.76,0.76,0.76,0.68,0.76,0.76,0.76,0.76,0.54",25,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",32200000
how many tarot cards in a deck,Informational,1000,"0.10,0.16,0.16,1.00,0.10,0.43,0.08,0.54,0.04,0.00,0.00,0.43",43,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",12500000
how to do tarot cards,Informational,1000,"0.34,1.00,0.30,0.24,0.16,0.24,0.24,0.24,0.20,0.20,0.16,0.16",25,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",50200000
how to pull tarot cards,Informational,1000,"0.04,0.05,0.04,0.04,0.03,0.04,0.05,0.05,0.04,1.00,0.05,0.43",13,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",64600000
what does the moon tarot card meaning in love,Informational,1000,"1.00,0.00,0.00",11,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask",
what does the tower tarot card mean,Informational,1000,"0.41,0.41,0.37,0.54,0.37,0.37,0.37,0.24,0.29,0.29,1.00,0.54",23,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",2040000
what is a clarifying card in tarot,Informational,1000,"1.00,0.00,0.00,0.00,0.00",1,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",227000
what tarot card represents me,Informational,1000,"0.19,1.00,0.13,0.13,0.08,0.10,0.05,0.04,0.04,0.04,0.03,0.03",22,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",5620000
are tarot cards accurate,Informational,880,"0.54,0.20,0.08,0.01,0.01,0.02,0.01,0.02,0.05,0.13,1.00,0.00",10,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",4590000
how to cleanse tarot cards,Informational,880,"0.24,0.24,0.16,1.00,0.00,0.07,0.16,0.20,0.16,0.16,0.16,0.07",4,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",1420000
is tarot reading real,Informational,880,"1.00,1.00,0.88,1.00,0.88,0.88,0.72,0.88,0.88,0.88,0.72,0.02",17,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",56100000
what do swords represent in tarot,Informational,880,"0.20,0.20,0.20,1.00,0.20,0.20,0.79,0.20,0.79,0.20,0.24,0.20",32,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",1060000
what do wands represent in tarot,Informational,880,"0.24,1.00,0.24,0.30,0.20,0.24,0.20,0.24,0.79,0.24,0.24,0.24",19,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",874000
what does the hanged man tarot card mean,Informational,880,"0.16,0.16,0.13,0.16,0.02,1.00,0.13,0.10,0.13,0.16,0.16,0.20",30,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",638000
what is tarot card reading,Informational,880,"0.77,1.00,1.00,0.77,0.77,0.77,0.10,0.02,0.01,1.00,0.77,1.00",46,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches",55100000
how to use the tarot,Informational,720,"0.76,0.67,0.76,0.67,0.55,0.16,0.13,0.20,0.55,0.03,0.55,1.00",17,0.19,0.25,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",10
may 10 2025 horoscope tarot,Informational,720,"1.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"AI Overview, Image pack, Video",22600000
what does the death card mean in tarot,Informational,720,"1.00,0.76,0.45,0.45,0.45,0.76,0.45,0.24,0.67,0.45,0.76,0.45",25,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",7930000
what does the empress tarot card mean,Informational,720,"0.46,0.46,0.37,0.37,0.31,0.37,0.37,0.08,0.31,0.31,1.00,0.05",25,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Related searches",864000
what does the fool tarot card mean,Informational,720,"0.47,0.33,0.33,0.33,0.33,0.07,1.00,0.33,0.33,0.47,0.47,0.07",16,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",1630000
what does the hermit tarot card mean,Informational,720,"0.60,0.80,0.80,1.00,0.80,0.60,0.60,0.60,0.60,0.60,0.60,0.60",25,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",920000
what does the high priestess tarot card mean,Informational,720,"0.37,0.31,0.25,0.37,0.31,0.25,0.25,0.31,0.31,0.37,1.00,0.31",25,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Image, Video, Knowledge panel, Related searches",944000
what does the moon tarot card mean,Informational,720,"1.00,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.75,0.75,0.75,0.75",34,0.00,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",8360000
what is my tarot card,Informational,720,"0.30,0.24,0.20,0.20,0.16,1.00,0.16,0.16,0.16,0.16,0.16,0.16",31,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Discussions and forums, Related searches, Ads bottom",70700000
which tarot card represents me,Informational,720,"0.10,0.10,0.07,0.03,1.00,0.03,0.03,0.03,0.03,0.03,0.03,0.01",22,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches",5240000
can't use tarot card balatro,Informational,590,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",25100
how did paxton survive in tarot,Informational,590,"1.00,0.43,0.14,0.29,0.14,0.00,0.29,0.00,0.00,0.00,0.29,0.00",25,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",61
how to do a tarot card reading,Informational,590,"0.52,0.68,0.84,0.05,0.03,1.00,0.16,0.25,0.16,0.11,0.08,0.08",27,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",57300000
how to read tarot cards for beginners,Informational,590,"0.28,0.45,0.17,0.07,1.00,0.00,0.07,0.03,0.00,0.03,0.03,0.00",17,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",72100000
what does death mean in tarot,Informational,590,"0.59,0.32,1.00,0.39,0.59,0.48,0.88,0.59,0.88,0.39,0.48,0.39",30,0.00,0.00,"Sitelinks, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches",16400000
what does death tarot card mean,Informational,590,"0.36,0.30,0.45,0.24,0.67,1.00,0.20,0.45,0.20,0.24,0.55,0.55",31,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",7670000
what does the devil card mean in tarot,Informational,590,"0.67,0.53,0.53,0.67,1.00,1.00,0.80,0.80,1.00,0.80,1.00,1.00",27,0.00,0.00,"Featured snippet, Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches",2440000
what does the lovers tarot card mean,Informational,590,"1.00,0.71,0.71,0.57,0.71,0.14,0.57,0.57,0.57,0.71,0.57,0.57",39,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",4630000
what does the magician tarot card mean,Informational,590,"1.00,1.00,0.81,0.81,0.54,0.66,0.81,0.81,0.54,0.81,0.66,0.01",41,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",1270000
what tarot card that linda g the comanche psychic use,Informational,590,"1.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"Image pack, People also ask, Related searches",142000
how do tarot cards work,Informational,480,"0.13,0.10,0.13,0.10,0.05,0.07,0.03,0.13,0.10,0.04,0.00,1.00",23,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",34200000
how do you pronounce tarot,Informational,480,"0.68,0.43,0.43,0.35,0.43,0.84,0.54,0.68,0.35,0.54,1.00,1.00",33,0.00,0.00,"Sitelinks, Video, Video carousel, Short videos, Knowledge panel, Related searches",2010000
what are tarot cards used for,Informational,480,"0.16,0.03,0.16,0.20,0.03,0.13,0.13,1.00,0.16,0.00,0.00,0.00",33,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",24700000
what does death card mean in tarot,Informational,480,"0.67,1.00,1.00,0.28,0.28,0.35,0.67,0.54,0.24,0.67,0.80,0.17",28,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",7840000
what does hermit mean in tarot cards,Informational,480,"0.67,0.29,0.67,0.19,0.81,0.67,0.54,0.67,0.67,0.19,0.19,1.00",12,0.03,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",891000
what does the chariot mean in tarot,Informational,480,"0.67,0.67,0.54,0.54,0.67,0.67,0.44,0.44,0.44,0.67,0.54,1.00",27,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",805000
what does the death card mean in tarot reading,Informational,480,"0.67,0.08,0.30,0.16,0.20,0.24,1.00,0.76,0.76,0.08,0.55,0.76",26,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",4580000
what does the death tarot card mean,Informational,480,"0.31,0.31,0.20,0.20,0.31,1.00,0.00,0.25,0.00,0.02,0.20,0.25",19,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",7940000
what does the devil tarot card mean,Informational,480,"1.00,1.00,0.84,0.68,0.54,0.54,0.54,0.54,0.43,0.05,0.54,0.68",18,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",2480000
what does the emperor tarot card mean,Informational,480,"0.83,0.83,0.67,0.83,0.67,1.00,0.83,0.83,0.67,0.67,0.22,0.83",30,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",1080000
what does the hanged man mean in tarot,Informational,480,"0.66,0.54,0.54,0.54,0.81,1.00,0.81,0.36,0.81,0.81,0.81,0.81",24,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",780000
what does the stars mean in tarot,Informational,480,"0.67,0.29,0.67,0.15,0.36,0.67,0.54,0.67,0.67,0.19,0.67,1.00",35,0.00,0.00,"Sitelinks, Instant answer, Image pack, Video, Knowledge panel, Related searches",4870000
what does the sun tarot card mean,Informational,480,"1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.00,0.67,0.00,0.00,0.67",19,0.00,0.00,"AI Overview, Video, People also ask, Related searches",19600000
what tarot card are you,Informational,480,"0.03,1.00,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03",19,0.00,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",68700000
where did tarot originate,Informational,480,"1.00,0.66,0.66,0.81,0.66,1.00,0.66,0.66,0.66,0.66,0.81,0.01",49,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",826000
where to watch tarot,Informational,480,"0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,0.00,0.00,"Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",56200000
which tarot card are you,Informational,480,"0.04,0.07,0.07,0.13,0.13,0.13,0.13,0.66,0.13,0.13,1.00,1.00",16,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",64300000
cómo echar las cartas del tarot a uno mismo,Informational,390,"1.00,0.14,0.00,0.00,0.00,0.00",23,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",952000
do tarot cards work,Informational,390,"0.00,0.00,0.00,0.00,1.00,0.02,0.02,0.02,0.02,0.06,0.04,0.04",24,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",
how does tarot work,Informational,390,"0.82,0.03,0.11,0.05,0.05,0.07,0.04,0.03,0.13,1.00,0.00,0.00",15,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",66500000
how many tarot cards are in a deck,Informational,390,"0.07,0.08,0.05,0.65,0.04,0.00,0.00,0.00,0.00,0.01,0.10,1.00",27,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",12200000
how to code tarot cards in java,Informational,390,"1.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"AI Overview, Image pack, Video, People also ask, Discussions and forums",51600
how to draw tarot cards,Informational,390,"0.16,0.11,0.16,0.13,0.11,0.11,0.11,1.00,0.11,0.13,0.13,0.13",25,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",6890000
how to read playing cards as tarot,Informational,390,"0.11,0.16,0.13,0.08,0.05,0.11,0.16,0.16,0.11,1.00,0.13,0.16",36,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",16500000
how to tarot card reading,Informational,390,"0.20,0.17,0.17,0.12,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.12",44,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches",49400000
is tarot cards evil,Informational,390,"0.36,0.44,0.55,1.00,0.82,0.00,0.55,0.82,0.82,0.65,0.55,0.00",29,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",6860000
is tarot real,Informational,390,"1.00,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",25,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",113000000
what are tarots,Informational,390,"0.67,0.20,0.00,0.00,0.16,0.20,0.10,0.16,0.00,0.00,0.13,1.00",54,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",884000
what does bible say about tarot cards,Informational,390,"0.10,0.16,0.68,0.01,0.16,1.00,0.25,0.56,0.20,0.01,0.00,0.00",22,0.02,0.01,"Sitelinks, AI Overview, Video, Related searches",5180000
what does the fool mean in tarot,Informational,390,"0.16,0.20,0.02,0.16,0.13,1.00,0.16,0.13,0.16,0.20,0.16,0.00",33,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",2230000
what does the hanged man in tarot cards mean,Informational,390,"0.44,0.23,0.44,0.15,0.81,0.67,0.54,0.67,0.67,0.00,0.67,1.00",31,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",618000
what does the hermit card mean in tarot,Informational,390,"0.54,0.81,0.81,0.81,1.00,0.44,0.44,1.00,0.36,0.24,0.03,0.02",21,0.00,0.00,"Featured snippet, Video, People also ask, Knowledge panel, Related searches",940000
what does the star mean in tarot,Informational,390,"0.08,0.08,0.08,0.00,0.00,0.08,0.06,1.00,0.00,0.08,0.08,0.02",30,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",24700000
what does the star tarot card mean,Informational,390,"1.00,1.00,0.67,0.67,0.67,0.67,0.67,0.00,0.00,0.67,0.00,0.67",26,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",8520000
what does the tarot card high priestess mean,Informational,390,"1.00,0.54,0.66,0.66,0.81,0.81,0.81,0.81,0.66,0.54,0.54,0.66",28,0.02,0.01,"Sitelinks, AI Overview, Instant answer, Video, Knowledge panel, Related searches",940000
what does the wheel of fortune tarot card mean,Informational,390,"1.00,1.00,1.00,1.00,0.80,0.80,0.18,0.07,0.67,0.67,0.67,0.67",10,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",1030000
what does the world tarot card mean,Informational,390,"1.00,0.67,0.67,0.67,0.33,0.67,0.67,0.00,0.33,0.33,0.33,0.67",20,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Related searches",18100000
what is the overall message of the 'lovers' tarot card,Informational,390,"1.00,0.00,0.00,0.00,0.00,0.00,0.00",1,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",10
how to play tarot card reading,Informational,320,"0.36,0.12,0.45,0.24,0.09,0.07,0.67,1.00,1.00,0.07,0.07,0.01",24,0.38,0.10,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums",
what do pentacles represent in tarot,Informational,320,"0.82,1.00,1.00,1.00,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82",21,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",739000
what does rx mean in tarot,Informational,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00",4,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",193000
what does temperance mean in tarot,Informational,320,"0.00,0.08,0.08,0.08,0.07,0.08,0.02,1.00,0.05,0.00,0.08,0.00",29,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",717000
what does the emperor mean in tarot,Informational,320,"0.54,0.66,0.54,0.44,0.44,0.54,0.66,0.54,0.54,0.54,0.81,1.00",32,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, Knowledge panel, Related searches",1340000
what does the hermit mean in tarot cards,Informational,320,"0.24,0.10,0.67,1.00,0.13,0.16,0.08,0.30,0.08,0.76,0.00,0.00",22,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",907000
what does the hierophant tarot card mean,Informational,320,"0.44,0.54,0.66,0.66,0.54,0.66,0.66,0.66,0.66,0.66,0.81,1.00",31,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",491000
what does the magician mean in tarot,Informational,320,"0.07,0.02,0.07,0.01,0.05,0.01,0.05,1.00,0.05,0.05,0.00,0.07",18,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",1540000
what does the tarot card death mean,Informational,320,"0.12,0.10,0.37,0.25,1.00,0.25,0.10,0.04,0.37,0.07,0.25,0.77",27,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",7140000
what is a tarot reading,Informational,320,"0.33,0.53,0.00,0.43,0.80,0.17,1.00,0.03,0.80,0.80,0.67,0.67",34,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",114000000
what is my birth tarot card,Informational,320,"1.00,1.00,0.81,0.54,0.44,0.36,0.36,0.36,0.44,0.36,0.36,0.29",31,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",12800000
what is the 11th tarot card,Informational,320,"1.00,0.31,0.13,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",57900000
where do tarot cards come from,Informational,320,"0.15,0.54,0.62,0.62,0.62,0.85,1.00,0.62,0.62,0.62,0.54,0.00",50,0.00,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",36100000
how to do a tarot reading on yourself,Informational,260,"1.00,0.27,0.34,0.52,0.23,0.23,0.43,0.82,0.34,0.43,0.23,0.11",11,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",25200000
how to do tarot,Informational,260,"1.00,0.82,0.53,0.53,0.28,0.43,0.53,0.66,0.66,0.66,0.66,0.82",23,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",176000000
